chemical,water_type,month_start,metric,n,n_sites,nd_frac,mean_value,median_value,ci_low,ci_high
nitrate,surface_water,2021-05-01,median,12,8,0.14285714285714285,NULL,1.73,8.9999999999999997E-2,5.1099999999999994
nitrate,surface_water,2021-06-01,mean,7,6,0.22222222222222221,3.4194285714285719,NULL,0.57866666666666655,6.8637156249999656
nitrate,surface_water,2021-06-01,median,7,6,0.22222222222222221,NULL,1.3700000000000001,0.223,8.8699999999999992
nitrate,surface_water,2021-07-01,mean,8,7,0.20000000000000001,2.3821249999999998,NULL,0.28330416666666669,4.5210081249999998
nitrate,surface_water,2021-07-01,median,8,7,0.20000000000000001,NULL,1.6509999999999998,1.4999999999999999E-2,4.7509999999999994
nitrate,surface_water,2021-08-01,mean,10,7,0.2857142857142857,2.7177999999999995,NULL,0.28425,5.5341666666666667
nitrate,surface_water,2021-08-01,median,10,7,0.2857142857142857,NULL,1.8694999999999999,7.3999999999999996E-2,8.0999999999999996
nitrate,surface_water,2021-09-01,mean,5,4,0.0,1.1796000000000002,NULL,3.2500000000000001E-2,1.9443333333333337
nitrate,surface_water,2021-09-01,median,5,4,0.0,NULL,0.99299999999999999,1.0999999999999999E-2,2.54
nitrate,surface_water,2021-10-01,mean,5,5,0.2857142857142857,1.8526,NULL,0.09633333333333334,6.2727499999999994
nitrate,surface_water,2021-10-01,median,5,5,0.2857142857142857,NULL,0.221,3.6999999999999998E-2,8.2899999999999991
nitrate,surface_water,2021-11-01,mean,5,5,0.2857142857142857,1.3077999999999999,NULL,3.7666666666666661E-2,4.0887500000000001
nitrate,surface_water,2021-11-01,median,5,5,0.2857142857142857,NULL,6.5000000000000002E-2,2.5999999999999999E-2,5.4299999999999997
nitrate,surface_water,2021-12-01,mean,4,3,0.0,2.4347500000000002,NULL,2.2000000000000002E-2,8.9000000000000004
nitrate,surface_water,2021-12-01,median,4,3,0.0,NULL,0.40950000000000003,2.1999999999999999E-2,8.9000000000000004
nitrate,surface_water,2022-01-01,mean,7,6,0.0,2.6778571428571429,NULL,0.50112499999999993,5.6885000000000003
nitrate,surface_water,2022-01-01,median,7,6,0.0,NULL,0.53600000000000003,0.02,7.1799999999999997
nitrate,surface_water,2022-02-01,mean,4,4,0.0,2.2762499999999997,NULL,0.0235,6.2332500000000008
nitrate,surface_water,2022-02-01,median,4,4,0.0,NULL,0.39550000000000002,0.014,8.3000000000000007
nitrate,surface_water,2022-03-01,mean,5,5,0.44444444444444442,2.5933999999999999,NULL,0.016,6.1200000000000001
nitrate,surface_water,2022-03-01,median,5,5,0.44444444444444442,NULL,0.41399999999999998,0.016,6.1200000000000001
nitrate,surface_water,2022-04-01,mean,5,4,0.2857142857142857,1.0934000000000001,NULL,1.2000000000000002E-2,2.3249999999999997
nitrate,surface_water,2022-04-01,median,5,4,0.2857142857142857,NULL,0.40699999999999997,0.012,2.3250000000000002
nitrate,surface_water,2022-05-01,mean,7,5,0.22222222222222221,0.98642857142857143,NULL,1.8500000000000003E-2,1.8137000000000001
nitrate,surface_water,2022-05-01,median,7,5,0.22222222222222221,NULL,0.51200000000000001,1.7000000000000001E-2,1.97
nitrate,surface_water,2022-06-01,mean,5,4,0.44444444444444442,1.5464,NULL,0.41100000000000003,2.3033333333333341
nitrate,surface_water,2022-06-01,median,5,4,0.44444444444444442,NULL,2.2000000000000002,0.41100000000000003,2.2400000000000002
nitrate,surface_water,2022-07-01,mean,7,5,0.22222222222222221,1.4724285714285714,NULL,0.019,2.6231
nitrate,surface_water,2022-07-01,median,7,5,0.22222222222222221,NULL,0.93000000000000005,1.0999999999999999E-2,2.8999999999999999
nitrate,surface_water,2022-08-01,mean,7,5,0.22222222222222221,1.5474285714285714,NULL,2.1750000000000002E-2,2.7591000000000001
nitrate,surface_water,2022-08-01,median,7,5,0.22222222222222221,NULL,0.82699999999999996,2.1000000000000001E-2,3.04
nitrate,surface_water,2022-09-01,mean,4,3,0.0,1.5600000000000001,NULL,1.7999999999999999E-2,2.6549999999999998
nitrate,surface_water,2022-09-01,median,4,3,0.0,NULL,1.716,1.7999999999999999E-2,2.6550000000000002
nitrate,surface_water,2022-10-01,mean,4,5,0.5,1.6332500000000001,NULL,1.6500000000000001E-2,5.2199999999999998
nitrate,surface_water,2022-10-01,median,4,5,0.5,NULL,0.64849999999999997,1.6500000000000001E-2,5.2199999999999998
nitrate,surface_water,2022-11-01,mean,4,4,0.33333333333333331,2.2875000000000001,NULL,6.5000000000000002E-2,7.7399999999999993
nitrate,surface_water,2022-11-01,median,4,4,0.33333333333333331,NULL,0.68049999999999999,6.5000000000000002E-2,7.7400000000000002
nitrate,surface_water,2022-12-01,mean,2,2,0.0,4.4950000000000001,NULL,1.3,7.6900000000000004
nitrate,surface_water,2022-12-01,median,2,2,0.0,NULL,4.4950000000000001,1.3,7.6900000000000004
nitrate,surface_water,2023-01-01,mean,4,3,0.0,1.964,NULL,3.0499999999999999E-2,6.96
nitrate,surface_water,2023-01-01,median,4,3,0.0,NULL,0.433,3.0499999999999999E-2,6.96
nitrate,surface_water,2023-02-01,mean,4,3,0.0,3.9837500000000001,NULL,1.2000000000000002E-2,7.5450000000000008
nitrate,surface_water,2023-02-01,median,4,3,0.0,NULL,4.0564999999999998,0.012,7.5449999999999999
nitrate,surface_water,2023-03-01,mean,5,3,0.0,2.9403999999999999,NULL,0.01,6.6500000000000012
nitrate,surface_water,2023-03-01,median,5,3,0.0,NULL,0.69799999999999995,0.01,5.9100000000000001
nitrate,surface_water,2023-04-01,mean,5,5,0.44444444444444442,1.7358,NULL,2.9000000000000001E-2,3.7349999999999999
nitrate,surface_water,2023-04-01,median,5,5,0.44444444444444442,NULL,0.622,2.9000000000000001E-2,3.7350000000000003
nitrate,surface_water,2023-05-01,mean,6,4,0.25,1.2638333333333334,NULL,1.7999999999999999E-2,2.2000000000000002
nitrate,surface_water,2023-05-01,median,6,4,0.25,NULL,1.1134999999999999,1.7999999999999999E-2,2.23
nitrate,surface_water,2023-06-01,mean,5,5,0.44444444444444442,1.1954,NULL,3.3000000000000002E-2,2.1600000000000001
nitrate,surface_water,2023-06-01,median,5,5,0.44444444444444442,NULL,0.81299999999999994,3.3000000000000002E-2,2.1600000000000001
nitrate,surface_water,2023-07-01,mean,1,2,0.66666666666666663,2.25,NULL,2.25,2.25
nitrate,surface_water,2023-07-01,median,1,2,0.66666666666666663,NULL,2.25,2.25,2.25
nitrate,surface_water,2023-08-01,mean,3,4,0.40000000000000002,1.129,NULL,1.2999999999999999E-2,2.4900000000000002
